# total density of states output by FHI-aims 
# The energy reference for this output is the chemical potential, mu =       -5.181399 eV
#    Energy (eV)      DOS 
        -13.64060106          2.57051769
        -13.63860106          2.48819756
        -13.63660106          2.40612260
        -13.63460106          2.32451031
        -13.63260106          2.24357392
        -13.63060106          2.16352203
        -13.62860106          2.08455812
        -13.62660106          2.00688024
        -13.62460106          1.93068068
        -13.62260106          1.85614565
        -13.62060106          1.78345505
        -13.61860106          1.71278228
        -13.61660106          1.64429400
        -13.61460106          1.57815005
        -13.61260106          1.51450326
        -13.61060106          1.45349940
        -13.60860106          1.39527708
        -13.60660106          1.33996767
        -13.60460106          1.28769528
        -13.60260106          1.23857669
        -13.60060106          1.19272136
        -13.59860106          1.15023131
        -13.59660106          1.11120116
        -13.59460106          1.07571805
        -13.59260106          1.04386159
        -13.59060106          1.01570379
        -13.58860106          0.99130895
        -13.58660106          0.97073361
        -13.58460106          0.95402640
        -13.58260106          0.94122786
        -13.58060106          0.93237035
        -13.57860106          0.92747781
        -13.57660106          0.92656556
        -13.57460106          0.92964009
        -13.57260106          0.93669881
        -13.57060106          0.94772980
        -13.56860106          0.96271152
        -13.56660106          0.98161257
        -13.56460106          1.00439142
        -13.56260106          1.03099609
        -13.56060106          1.06136398
        -13.55860106          1.09542155
        -13.55660106          1.13308416
        -13.55460106          1.17425588
        -13.55260106          1.21882932
        -13.55060106          1.26668560
        -13.54860106          1.31769424
        -13.54660106          1.37171324
        -13.54460106          1.42858913
        -13.54260106          1.48815719
        -13.54060106          1.55024162
        -13.53860106          1.61465594
        -13.53660106          1.68120335
        -13.53460106          1.74967731
        -13.53260106          1.81986205
        -13.53060106          1.89153334
        -13.52860106          1.96445924
        -13.52660106          2.03840096
        -13.52460106          2.11311387
        -13.52260106          2.18834845
        -13.52060106          2.26385152
        -13.51860106          2.33936730
        -13.51660106          2.41463874
        -13.51460106          2.48940872
        -13.51260106          2.56342144
        -13.51060106          2.63642373
        -13.50860106          2.70816637
        -13.50660106          2.77840551
        -13.50460106          2.84690392
        -13.50260106          2.91343238
        -13.50060106          2.97777086
        -13.49860106          3.03970977
        -13.49660106          3.09905107
        -13.49460106          3.15560931
        -13.49260106          3.20921261
        -13.49060106          3.25970346
        -13.48860106          3.30693950
        -13.48660106          3.35079407
        -13.48460106          3.39115673
        -13.48260106          3.42793358
        -13.48060106          3.46104746
        -13.47860106          3.49043802
        -13.47660106          3.51606165
        -13.47460106          3.53789125
        -13.47260106          3.55591590
        -13.47060106          3.57014038
        -13.46860106          3.58058457
        -13.46660106          3.58728277
        -13.46460106          3.59028289
        -13.46260106          3.58964552
        -13.46060106          3.58544305
        -13.45860106          3.57775855
        -13.45660106          3.56668474
        -13.45460106          3.55232289
        -13.45260106          3.53478163
        -13.45060106          3.51417588
        -13.44860106          3.49062570
        -13.44660106          3.46425517
        -13.44460106          3.43519132
        -13.44260106          3.40356313
        -13.44060106          3.36950058
        -13.43860106          3.33313370
        -13.43660106          3.29459179
        -13.43460106          3.25400270
        -13.43260106          3.21149215
        -13.43060106          3.16718318
        -13.42860106          3.12119571
        -13.42660106          3.07364615
        -13.42460106          3.02464716
        -13.42260106          2.97430742
        -13.42060106          2.92273159
        -13.41860106          2.87002028
        -13.41660106          2.81627009
        -13.41460106          2.76157378
        -13.41260106          2.70602045
        -13.41060106          2.64969581
        -13.40860106          2.59268242
        -13.40660106          2.53506009
        -13.40460106          2.47690617
        -13.40260106          2.41829598
        -13.40060106          2.35930311
        -13.39860106          2.29999989
        -13.39660106          2.24045766
        -13.39460106          2.18074721
        -13.39260106          2.12093905
        -13.39060106          2.06110372
        -13.38860106          2.00131208
        -13.38660106          1.94163554
        -13.38460106          1.88214621
        -13.38260106          1.82291713
        -13.38060106          1.76402230
        -13.37860106          1.70553682
        -13.37660106          1.64753686
        -13.37460106          1.59009973
        -13.37260106          1.53330378
        -13.37060106          1.47722835
        -13.36860106          1.42195368
        -13.36660106          1.36756080
        -13.36460106          1.31413135
        -13.36260106          1.26174750
        -13.36060106          1.21049174
        -13.35860106          1.16044674
        -13.35660106          1.11169518
        -13.35460106          1.06431964
        -13.35260106          1.01840239
        -13.35060106          0.97402532
        -13.34860106          0.93126981
        -13.34660106          0.89021661
        -13.34460106          0.85094584
        -13.34260106          0.81353685
        -13.34060106          0.77806825
        -13.33860106          0.74461791
        -13.33660106          0.71326292
        -13.33460106          0.68407970
        -13.33260106          0.65714398
        -13.33060106          0.63253089
        -13.32860106          0.61031506
        -13.32660106          0.59057066
        -13.32460106          0.57337150
        -13.32260106          0.55879112
        -13.32060106          0.54690284
        -13.31860106          0.53777982
        -13.31660106          0.53149512
        -13.31460106          0.52812172
        -13.31260106          0.52773248
        -13.31060106          0.53040014
        -13.30860106          0.53619722
        -13.30660106          0.54519592
        -13.30460106          0.55746796
        -13.30260106          0.57308436
        -13.30060106          0.59211526
        -13.29860106          0.61462954
        -13.29660106          0.64069456
        -13.29460106          0.67037572
        -13.29260106          0.70373605
        -13.29060106          0.74083575
        -13.28860106          0.78173166
        -13.28660106          0.82647672
        -13.28460106          0.87511938
        -13.28260106          0.92770301
        -13.28060106          0.98426528
        -13.27860106          1.04483750
        -13.27660106          1.10944399
        -13.27460106          1.17810143
        -13.27260106          1.25081824
        -13.27060106          1.32759397
        -13.26860106          1.40841869
        -13.26660106          1.49327241
        -13.26460106          1.58212463
        -13.26260106          1.67493381
        -13.26060106          1.77164697
        -13.25860106          1.87219936
        -13.25660106          1.97651415
        -13.25460106          2.08450221
        -13.25260106          2.19606199
        -13.25060106          2.31107947
        -13.24860106          2.42942814
        -13.24660106          2.55096916
        -13.24460106          2.67555151
        -13.24260106          2.80301228
        -13.24060106          2.93317700
        -13.23860106          3.06586009
        -13.23660106          3.20086534
        -13.23460106          3.33798650
        -13.23260106          3.47700788
        -13.23060106          3.61770503
        -13.22860106          3.75984548
        -13.22660106          3.90318951
        -13.22460106          4.04749092
        -13.22260106          4.19249787
        -13.22060106          4.33795369
        -13.21860106          4.48359771
        -13.21660106          4.62916611
        -13.21460106          4.77439268
        -13.21260106          4.91900968
        -13.21060106          5.06274855
        -13.20860106          5.20534065
        -13.20660106          5.34651796
        -13.20460106          5.48601375
        -13.20260106          5.62356311
        -13.20060106          5.75890361
        -13.19860106          5.89177570
        -13.19660106          6.02192326
        -13.19460106          6.14909396
        -13.19260106          6.27303967
        -13.19060106          6.39351677
        -13.18860106          6.51028648
        -13.18660106          6.62311514
        -13.18460106          6.73177445
        -13.18260106          6.83604175
        -13.18060106          6.93570028
        -13.17860106          7.03053940
        -13.17660106          7.12035486
        -13.17460106          7.20494916
        -13.17260106          7.28413179
        -13.17060106          7.35771962
        -13.16860106          7.42553732
        -13.16660106          7.48741779
        -13.16460106          7.54320266
        -13.16260106          7.59274287
        -13.16060106          7.63589926
        -13.15860106          7.67254325
        -13.15660106          7.70255759
        -13.15460106          7.72583711
        -13.15260106          7.74228957
        -13.15060106          7.75183651
        -13.14860106          7.75441420
        -13.14660106          7.74997449
        -13.14460106          7.73848586
        -13.14260106          7.71993426
        -13.14060106          7.69432414
        -13.13860106          7.66167929
        -13.13660106          7.62204378
        -13.13460106          7.57548273
        -13.13260106          7.52208314
        -13.13060106          7.46195451
        -13.12860106          7.39522945
        -13.12660106          7.32206419
        -13.12460106          7.24263891
        -13.12260106          7.15715798
        -13.12060106          7.06585007
        -13.11860106          6.96896806
        -13.11660106          6.86678887
        -13.11460106          6.75961303
        -13.11260106          6.64776418
        -13.11060106          6.53158833
        -13.10860106          6.41145300
        -13.10660106          6.28774614
        -13.10460106          6.16087494
        -13.10260106          6.03126443
        -13.10060106          5.89935598
        -13.09860106          5.76560561
        -13.09660106          5.63048218
        -13.09460106          5.49446547
        -13.09260106          5.35804412
        -13.09060106          5.22171352
        -13.08860106          5.08597352
        -13.08660106          4.95132622
        -13.08460106          4.81827354
        -13.08260106          4.68731488
        -13.08060106          4.55894469
        -13.07860106          4.43365002
        -13.07660106          4.31190815
        -13.07460106          4.19418416
        -13.07260106          4.08092860
        -13.07060106          3.97257514
        -13.06860106          3.86953836
        -13.06660106          3.77221159
        -13.06460106          3.68096477
        -13.06260106          3.59614256
        -13.06060106          3.51806240
        -13.05860106          3.44701279
        -13.05660106          3.38325166
        -13.05460106          3.32700494
        -13.05260106          3.27846516
        -13.05060106          3.23779031
        -13.04860106          3.20510283
        -13.04660106          3.18048874
        -13.04460106          3.16399698
        -13.04260106          3.15563891
        -13.04060106          3.15538799
        -13.03860106          3.16317966
        -13.03660106          3.17891139
        -13.03460106          3.20244293
        -13.03260106          3.23359677
        -13.03060106          3.27215880
        -13.02860106          3.31787914
        -13.02660106          3.37047315
        -13.02460106          3.42962272
        -13.02260106          3.49497768
        -13.02060106          3.56615743
        -13.01860106          3.64275274
        -13.01660106          3.72432774
        -13.01460106          3.81042215
        -13.01260106          3.90055352
        -13.01060106          3.99421981
        -13.00860106          4.09090200
        -13.00660106          4.19006685
        -13.00460106          4.29116983
        -13.00260106          4.39365809
        -13.00060106          4.49697355
        -12.99860106          4.60055607
        -12.99660106          4.70384663
        -12.99460106          4.80629053
        -12.99260106          4.90734068
        -12.99060106          5.00646075
        -12.98860106          5.10312833
        -12.98660106          5.19683806
        -12.98460106          5.28710460
        -12.98260106          5.37346550
        -12.98060106          5.45548396
        -12.97860106          5.53275138
        -12.97660106          5.60488975
        -12.97460106          5.67155379
        -12.97260106          5.73243294
        -12.97060106          5.78725299
        -12.96860106          5.83577753
        -12.96660106          5.87780909
        -12.96460106          5.91318998
        -12.96260106          5.94180285
        -12.96060106          5.96357091
