# total density of states output by FHI-aims 
# The energy reference for this output is the chemical potential, mu =       -4.990770 eV
#    Energy (eV)      DOS 
        -14.07722998          0.01180164
        -14.07522998          0.01050593
        -14.07322998          0.00933766
        -14.07122998          0.00828613
        -14.06922998          0.00734134
        -14.06722998          0.00649395
        -14.06522998          0.00573525
        -14.06322998          0.00505714
        -14.06122998          0.00445212
        -14.05922998          0.00391325
        -14.05722998          0.00343413
        -14.05522998          0.00300888
        -14.05322998          0.00263209
        -14.05122998          0.00229882
        -14.04922998          0.00200455
        -14.04722998          0.00174517
        -14.04522998          0.00151692
        -14.04322998          0.00131643
        -14.04122998          0.00114062
        -14.03922998          0.00098671
        -14.03722998          0.00085221
        -14.03522998          0.00073487
        -14.03322998          0.00063267
        -14.03122998          0.00054382
        -14.02922998          0.00046670
        -14.02722998          0.00039988
        -14.02522998          0.00034208
        -14.02322998          0.00029217
        -14.02122998          0.00024914
        -14.01922998          0.00021211
        -14.01722998          0.00018029
        -14.01522998          0.00015300
        -14.01322998          0.00012964
        -14.01122998          0.00010967
        -14.00922998          0.00009262
        -14.00722998          0.00007810
        -14.00522998          0.00006576
        -14.00322998          0.00005527
        -14.00122998          0.00004638
        -13.99922998          0.00003886
        -13.99722998          0.00003251
        -13.99522998          0.00002715
        -13.99322998          0.00002264
        -13.99122998          0.00001885
        -13.98922998          0.00001567
        -13.98722998          0.00001300
        -13.98522998          0.00001077
        -13.98322998          0.00000891
        -13.98122998          0.00000736
        -13.97922998          0.00000607
        -13.97722998          0.00000500
        -13.97522998          0.00000411
        -13.97322998          0.00000337
        -13.97122998          0.00000276
        -13.96922998          0.00000226
        -13.96722998          0.00000184
        -13.96522998          0.00000150
        -13.96322998          0.00000122
        -13.96122998          0.00000100
        -13.95922998          0.00000081
        -13.95722998          0.00000065
        -13.95522998          0.00000053
        -13.95322998          0.00000043
        -13.95122998          0.00000034
        -13.94922998          0.00000028
        -13.94722998          0.00000022
        -13.94522998          0.00000018
        -13.94322998          0.00000014
        -13.94122998          0.00000011
        -13.93922998          0.00000009
        -13.93722998          0.00000007
        -13.93522998          0.00000006
        -13.93322998          0.00000005
        -13.93122998          0.00000004
        -13.92922998          0.00000003
        -13.92722998          0.00000002
        -13.92522998          0.00000002
        -13.92322998          0.00000001
        -13.92122998          0.00000001
        -13.91922998          0.00000001
        -13.91722998          0.00000001
        -13.91522998          0.00000001
        -13.91322998          0.00000000
        -13.91122998          0.00000000
        -13.90922998          0.00000000
        -13.90722998          0.00000000
        -13.90522998          0.00000000
        -13.90322998          0.00000000
        -13.90122998          0.00000000
        -13.89922998          0.00000000
        -13.89722998          0.00000000
        -13.89522998          0.00000000
        -13.89322998          0.00000000
        -13.89122998          0.00000000
        -13.88922998          0.00000000
        -13.88722998          0.00000000
        -13.88522998          0.00000000
        -13.88322998          0.00000000
        -13.88122998          0.00000000
        -13.87922998          0.00000000
        -13.87722998          0.00000000
        -13.87522998          0.00000000
        -13.87322998          0.00000000
        -13.87122998          0.00000000
        -13.86922998          0.00000000
        -13.86722998          0.00000000
        -13.86522998          0.00000000
        -13.86322998          0.00000000
        -13.86122998          0.00000000
        -13.85922998          0.00000000
        -13.85722998          0.00000000
        -13.85522998          0.00000000
        -13.85322998          0.00000000
        -13.85122998          0.00000000
        -13.84922998          0.00000000
        -13.84722998          0.00000000
        -13.84522998          0.00000000
        -13.84322998          0.00000000
        -13.84122998          0.00000000
        -13.83922998          0.00000000
        -13.83722998          0.00000000
        -13.83522998          0.00000000
        -13.83322998          0.00000000
        -13.83122998          0.00000000
        -13.82922998          0.00000000
        -13.82722998          0.00000000
        -13.82522998          0.00000000
        -13.82322998          0.00000000
        -13.82122998          0.00000000
        -13.81922998          0.00000000
        -13.81722998          0.00000000
        -13.81522998          0.00000000
        -13.81322998          0.00000000
        -13.81122998          0.00000000
        -13.80922998          0.00000000
        -13.80722998          0.00000000
        -13.80522998          0.00000000
        -13.80322998          0.00000000
        -13.80122998          0.00000000
        -13.79922998          0.00000000
        -13.79722998          0.00000000
